Maker_ID,Original_Data,Maker_Type,Actor_Type,Organisation_Name,Title,Initials,Surname,First_name,Suffix,Disambiguation_Numeral,Label,VIAF_URI,Wikidata_URI,Alt_name1,Alt_name2,Alt_name3,Alt_name4,Alt_name5,Alt_name6,Alt_name7,Misc_Info
M-35,"Makers ref: 35 | Surname: BELL | First name: William | Alt name: | Date 1 qual: w | Date 1: 1771 | Date 2 qual: w | Date 2: 1803 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: D | Count stat: y | Adv trade 1: Optician, Land Surveyor, Engraver | Adv trade 2:",Person,Maker,,,,Bell,William,,,William Bell,,,,,,,,,,

M-36,"Makers ref: 36 | Surname: HANDFORD | First name: Thomas | Alt name: HANFORD, HANDFIELD | Date 1 qual: w | Date 1: 1668 | Date 2 qual: w | Date 2: 1695 | Misc info 1: Master SMC 1679-1681, 1690-1692, last appearance | Misc info 2: 1698 | Misc info 3: | Misc info 4: | Guild: Spectaclemakers | Mig town: L | Count stat: y | Adv trade 1: Spec M | Adv trade 2:",Person,Maker,,,,Handford,Thomas,,,Thomas Handford,,,Thomas Hanford,Thomas Handfield,,,,,,"Master SMC 1679-1681, 1690-1692, last appearance | 1698"

M-37,"Makers ref: 37 | Surname: BENNETT | First name: John (I) | Alt name: BENNET | Date 1 qual: w | Date 1: 1735 | Date 2 qual: d | Date 2: 1770 | Misc info 1: R.apt Dukes of Gloucester & Cumberland; | Misc info 2: petitioner against Dolland's patent 1764 | Misc info 3: | Misc info 4: | Guild: Stationers, fr 1731 | Mig town: L | Count stat: y | Adv trade 1: Math IM, Phil IM, Optical IM | Adv trade 2:",Person,Maker,,,,Bennett,John,,I,John Bennett,,,Bennet,,,,,,,"R.apt Dukes of Gloucester & Cumberland; | petitioner against Dolland's patent 1764 | Stationers, fr 1731"

M-38,"Makers ref: 38 | Surname: BETTALLY | First name: Christopher | Alt name: BETALLY, BETTALY, BETALLI, | Date 1 qual: w | Date 1: 1787 | Date 2 qual: w | Date 2: 1797 | Misc info 1: Specialised in banjo barometers | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L-EM | Count stat: y | Adv trade 1: Baro M, Phil IM | Adv trade 2:",Person,Maker,,,,Bettally,Christopher,,,Christopher Bettally,,,Christopher Betally,Christopher Bettaly,Christopher Betalli,,,,,Specialised in banjo barometers | Member of an unknown guild

M-39,"Makers ref: 39 | Surname: BISHOP | First name: Samuel | Alt name: | Date 1 qual: w | Date 1: 1790 | Date 2 qual: w | Date 2: 1790 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Clockmakers, fr 1781 | Mig town: L | Count stat: y | Adv trade 1: Watch M | Adv trade 2:",Person,Maker,,,,Bishop,Samuel,,,Samuel Bishop,,,,,,,,,,"Clockmakers, fr 1781"

M-40,"Makers ref: 40 | Surname: MOXON | First name: James (II) | Alt name: | Date 1 qual: w | Date 1: 1671 | Date 2 qual: w | Date 2: 1703 | Misc info 1: Publisher; Author; d.1708 | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: A-D-L | Count stat: y | Adv trade 1: Engraver, Math IM, Map S, Printer | Adv trade 2:",Person,Maker,,,,Moxon,James,,II,James Moxon,,,,,,,,,,Publisher; Author; d.1708 | Member of an unknown guild

