relation_id,target_maker_id,is_auto_disambiguation
13658,1487,
2225,1539,
1576,1488,
1839,1355,
20770,10200,
14727,704,
4190,1143,
20828,8735,
2026,2542,
13126,254,
12159,7675,
13956,6951,
8583,3455,
20840,10358,
18356,6409,
18672,2092,
5694,2304,
326,102,
19698,2328,
6794,3428,
14105,5240,
6611,1937,
5416,4598,
2616,9338,
18907,8960,
19447,9267,
2698,2034,
10012,5675,
16620,6840,
5227,1353,
7298,7487,
16408,4485,
4443,1055,
15096,7415,
11701,3858,
14264,551,
17054,10089,
6063,3423,
15661,9933,
3421,582,
12019,6607,
7017,8846,
17700,2285,
4294,980,
15198,4566,
10736,8651,
11239,3604,
3239,6965,
7118,4156,
8573,2866,
13327,7758,
10138,3126,
18630,1068,
19336,9239,
9421,2839,
3090,2269,
8866,1121,
13526,2808,
5590,340,
9946,2713,
4597,3199,
7221,1596,
14094,8632,
15270,4805,
6656,2297,
19416,3311,
13139,4521,
18507,8730,
12487,2880,
18735,935,
12797,3477,
17105,7332,
6731,1983,
3174,5300,
2949,164,
2481,155,
3454,385,
12685,4294,
634,857,
3922,25,
8629,1805,
13086,637,
4631,819,
6325,1825,
3201,518,
12707,127,
11200,1169,
6230,3478,
1966,188,
3274,1082,
5666,149,
19706,2331,
15920,6257,
20125,5659,
20447,4016,
2852,1303,
13598,832,
3781,2216,
7848,3995,
5448,1538,
5787,2530,
19569,5529,
18491,715,
14507,4322,
3534,2582,
5910,3850,
11090,3629,
7436,4582,
8871,562,
10390,1727,
4723,3202,
205,5389,
11829,3010,
8382,4124,
4642,3830,
2233,325,
11826,2928,
13828,5004,
19724,5903,
11675,4349,
16297,2268,
17162,5579,
14732,704,
9550,1390,
16251,6245,
5676,3383,
13659,4392,
20787,8919,
17749,3925,
13130,4522,
6399,897,
20848,10074,
5613,3293,
12160,8208,
1578,609,
4299,4466,
20841,9620,
13957,6951,
18357,6409,
18673,8846,
5695,2303,
1840,1302,
14728,5507,
20555,5431,
18908,8961,
4191,1144,
19448,9268,
6795,5606,
2028,1927,
8585,3456,
14907,5573,
16621,6837,
2274,2900,
6612,1934,
16409,6643,
6442,422,
11737,3898,
2700,1006,
15097,7416,
13447,3510,
5274,726,
17210,10490,
15199,5718,
17171,4444,
10133,3127,
4444,2839,
5228,5527,
11240,3604,
13724,5798,
12020,1852,
14664,2582,
7299,4471,
7226,43,
10744,7374,
7153,2139,
16664,5039,
18631,5721,
15734,6086,
17732,8816,
10025,5461,
21158,5675,
3422,630,
16954,7206,
9190,2774,
13608,4844,
9539,3568,
5634,1915,
14095,6772,
11670,344,
10125,4599,
3240,508,
12818,745,
15287,2151,
13823,5007,
3091,1897,
18522,10544,
12488,1619,
19708,6409,
15736,2650,
17166,7425,
6893,1819,
3282,1390,
2950,357,
2483,312,
12686,4296,
1999,188,
8637,2439,
18949,2442,
3923,26,
13089,547,
5420,335,
6326,1824,
3202,174,
1148,278,
12048,1978,
7768,2370,
1969,5353,
4180,923,
2014,813,
19766,5995,
15921,6256,
20143,9543,
20448,9682,
2858,502,
13604,1848,
6657,759,
6514,1906,
3783,1073,
7849,2573,
5662,137,
