town_location_id,geom,town
274,"{""type"":""Point"",""coordinates"":[-8.6301239,52.661252]}",Limerick
275,"{""type"":""Point"",""coordinates"":[0.394982696,52.754602628]}",King's Lynn
276,"{""type"":""Point"",""coordinates"":[-0.1276474,51.5073219]}",London
277,"{""type"":""Point"",""coordinates"":[0.023034881,51.518013889]}",London E16
278,"{""type"":""Point"",""coordinates"":[-3.420766913,56.203446511]}",Kinross
279,"{""type"":""Point"",""coordinates"":[-0.02121398,51.586523757]}",London E17
280,"{""type"":""Point"",""coordinates"":[-0.1234335,51.5161885]}",London EC
281,"{""type"":""Point"",""coordinates"":[-0.1106583,51.5298763]}",London EC1
282,"{""type"":""Point"",""coordinates"":[-1.861068133,53.723016176]}",Halifax
283,"{""type"":""Point"",""coordinates"":[-0.020510451,51.512003196]}",London E
284,"{""type"":""Point"",""coordinates"":[-0.305634626,51.410210992]}",Kingston
285,"{""type"":""Point"",""coordinates"":[-3.3786183,51.7490624]}",Merthyr Tydfil
286,"{""type"":""Point"",""coordinates"":[-3.4568129,55.8829378]}",Midcalder
287,"{""type"":""Point"",""coordinates"":[-0.1276474,51.5073219]}",London N
288,"{""type"":""Point"",""coordinates"":[-0.082123675,51.511352465]}",London EC3
289,"{""type"":""Point"",""coordinates"":[-0.4876472,51.4660634]}",London N11
290,"{""type"":""Point"",""coordinates"":[-0.474918415,51.4808232]}",London N5
291,"{""type"":""Point"",""coordinates"":[-0.4747018,51.4664673]}",London N7
292,"{""type"":""Point"",""coordinates"":[-0.120987111,51.519789343]}",London WC1
293,"{""type"":""Point"",""coordinates"":[-0.122355313,51.51176212]}",London WC2
294,"{""type"":""Point"",""coordinates"":[-1.6131572,54.9738474]}",Newcastle upon Tyne
295,"{""type"":""Point"",""coordinates"":[0.0483875,50.7945315]}",Newhaven
296,"{""type"":""Point"",""coordinates"":[-1.2344047,54.5760419]}",Middlesbrough
297,"{""type"":""Point"",""coordinates"":[-1.58557442,50.72505115]}",Milford on Sea
298,"{""type"":""Point"",""coordinates"":[-7.3213056,54.9978678]}",Londonderry
299,"{""type"":""Point"",""coordinates"":[-0.213838551,52.592736447]}",Newark
300,"{""type"":""Point"",""coordinates"":[-0.169834951,51.54364275]}",London NW3
301,"{""type"":""Point"",""coordinates"":[-2.7193114,52.3679896]}",Ludlow
302,"{""type"":""Point"",""coordinates"":[-0.4152837,51.8784385]}",Luton
303,"{""type"":""Point"",""coordinates"":[-1.197169242,53.144637294]}",Mansfield
304,"{""type"":""Point"",""coordinates"":[0.9065381,50.950968]}",Lydd
305,"{""type"":""Point"",""coordinates"":[-2.525486829,51.72127595]}",Lydney 
306,"{""type"":""Point"",""coordinates"":[-0.151398802,51.5205149]}",London W1
307,"{""type"":""Point"",""coordinates"":[-0.21091511,51.510377654]}",London W11
308,"{""type"":""Point"",""coordinates"":[-0.183610752,51.536810196]}",London NW
309,"{""type"":""Point"",""coordinates"":[-0.106603285,51.49752144]}",London SE1
310,"{""type"":""Point"",""coordinates"":[-0.144055085,51.4893335]}",London SE17
311,"{""type"":""Point"",""coordinates"":[-0.144055085,51.4893335]}",London SE25
312,"{""type"":""Point"",""coordinates"":[0.0213131,51.4767516]}",London SE3
313,"{""type"":""Point"",""coordinates"":[-0.087929974,51.475553824]}",London SE5
314,"{""type"":""Point"",""coordinates"":[0.0331403,51.4313129]}",London SE9
315,"{""type"":""Point"",""coordinates"":[-0.176476504,51.514700941]}",London W2
316,"{""type"":""Point"",""coordinates"":[-0.298434392,51.51940792]}",London W5
317,"{""type"":""Point"",""coordinates"":[-0.1243397,51.4742479]}",London SW
